question,answer
What should you do before operating the machine in near ocean (salt air) environments?,"You should inspect for any signs of corrosion and apply grease where rust is found. After operating the machine, you should thoroughly wash away salt residue."
What should you do when cleaning the engine air filter?,You should clean the dust evacuator frequently and immediately service the air filter and housing if an air filter restriction indicator is displayed.
What should you do when lubricating in harsh environments?,You should shorten the lubricating intervals and follow the maintenance schedule beginning on page 5-9 until enough experience is obtained to establish a new schedule.
What should you do before performing any maintenance and/or repairs?,Review the procedures in this manual and always follow all safety precautions.
Who should you contact if you are unable to perform the procedures listed in the manual?,A SANY dealer.
What should you review before starting maintenance?,The Maintenance Log.
What should you do when working on the machine while the engine is running?,Have a person in the cab who can correctly operate the machine and who is in clear contact at all times.
What should you use when performing any maintenance procedures?,The proper tools.
What should you verify after starting the machine after maintenance or repairs?,"That there are no leaks in the system, no abnormal sounds, no loose fasteners or abnormal movement, and no overheating in the system."
What should you do after performing maintenance or repairs to the machine?,"Take time to inventory tools, parts used, and fasteners to be sure none of these items were left on or inside the machine."
How often should you record the hour meter reading?,Daily.
What should you use when repairing or replacing machine components?,Genuine SANY replacement parts.
What kind of lubricants should you use?,SANY-approved lubricants.
What should you avoid mixing when using lubricants?,Different lubricant brands or viscosities.
Why should you only use lubricants recommended in the manual?,Because commercially available lubricants and additives may cause harm.
What should you do if the machine will be operated in below-freezing temperatures?,Contact a SANY dealer for assistance.
Why is it important to inspect machine oil and filters for contamination?,Failure to do so may result in damage to the machine or cause improper operation.
What should you do if contamination is found in the oil or filters?,Send a sample of the oil for testing to help determine the cause.
What should you do before welding repairs on the machine?,Contact a SANY dealer and ensure that the welding repairs are performed by personnel who are qualified and certified to perform repairs that require welding.
Why is it important to disconnect the battery and all electrical control modules prior to welding?,Failure to do so could result in damage to the machine and personal property or cause the machine to operate improperly.
How should you clean the machine?,"With mild soaps and a pressure washer, while protecting electrical parts and never using caustic chemicals or steam cleaners."
What should you do when servicing the machine with the covers open?,Make sure they are properly supported in place and close tightly and latch securely in place.
What should you do if the machine will be operating under adverse conditions?,"Check and clean electrical components, clean areas with extreme heat, and grease the pins of the work equipment prior to each operation."
"What should you do before operating the machine in mud, rain, or snow conditions?",Inspect each connector for looseness.
"What should you do after operating the machine in mud, rain, or snow conditions?","Clean the machine, inspect for missing or loose fasteners, add oil and grease as needed."
What should you do when operating the machine near an ocean (salt air) environment?,"Inspect for signs of corrosion, apply grease where rust is found, and perform maintenance carefully on electrical components to prevent corrosion."
What should you do when operating the machine in dusty environments?,"Clean the engine air filter, radiator, fuel equipment, and fresh-air and recirculation filters frequently."
What should you do when operating the machine in cold environments?,"Lubricate only with recommended oils shown in ""Engine Oil Viscosity/Temperature Data"" on page 5-7, and use recommended fuels identified in “Recommended Lubricants, Fuel, and Engine Coolant” on page 5-6."
What type of fuel is recommended for the SW405K Wheel Loader?,"No. 2 ultra-low sulfur diesel (ULSD) fuel, with a cetane level of at least 40."
Is it allowed to mix different brands or viscosities of fluid when servicing the machine?,"No, it is not allowed to mix fluids of different brands or viscosities."
What should you do if fuel waxing or bacteria occur in the fuel system?,Have the fuel system professionally serviced.
What type of grease should be used when greasing the machine?,"Clean EP (extreme pressure) grease, designed for heavy-duty bearings and general industrial lubrication."
What is the recommended engine oil viscosity for most climates?,SAE 5W-40 is recommended for a majority of climates.
Is it acceptable to use low-viscosity engine oil in temperatures below 23°F (-5°C)?,"Short-term use is acceptable, but long-term use can reduce engine life."
What type of diesel exhaust fluid (DEF) is recommended?,DEF that meets ISO 22241-1.
What type of engine coolants are acceptable?,Any brand meeting the Deutz classification TR 0199-99-1115/5 EN.
What type of windshield washer fluid should be used?,"Clean automotive windshield washer fluid, with a low temperature rating in cold weather areas."
What types of hydraulic oil are available for the SW405K Wheel Loader?,ISO VG 46 anti-wear hydraulic oil and ISO VG 32 low-temperature anti-wear hydraulic oil.
How should you select the proper hydraulic oil for the machine?,Based on local operating climate and conditions.
What type of lubricants should always be used for the SW405K Wheel Loader?,SANY-approved lubricants should always be used for the SW405K Wheel Loader.
What can happen if unauthorized lubricants and coolants are used in the SW405K Wheel Loader?,SANY is not responsible for damage caused by using unauthorized lubricants and coolants.
What is the recommended fuel for the SW405K Wheel Loader?,Deutz recommends the use of No. 2 ultra-low sulfur diesel (ULSD) fuel for all normal operations.
What precautions should be taken when refueling the SW405K Wheel Loader?,Take appropriate precautions to prevent fuel contamination during refueling.
What can happen if fuels are diluted in the SW405K Wheel Loader?,"Damage to the injection system can result, which causes the machine to operate improperly."
What is the approximate fuel tank capacity of the SW405K Wheel Loader?,The approximate fuel tank capacity of the SW405K Wheel Loader is 85 gal. (322 L).
What type of coolant is recommended for the engine of the SW405K Wheel Loader?,Engine coolants used can be any brand meeting the Deutz ® classification TR 0199-99-1115/5 EN.
What type of grease should be used for greasing the SW405K Wheel Loader?,Always use clean EP (extreme pressure) grease when greasing the machine. Avoid using low-viscosity greases.
What type of hydraulic oil should be used for the SW405K Wheel Loader in temperate climates?,Use ISO VG 46 anti-wear hydraulic oil in temperate climates.
What type of hydraulic oil should be used for the SW405K Wheel Loader in areas where ambient temperatures can reach -22°F (-30°C) during operation?,Use ISO VG 32 low-temperature anti-wear hydraulic oil in areas where ambient temperatures can reach -22°F (-30°C) during operation.
What is the recommended diesel exhaust fluid (DEF) for the SW405K Wheel Loader?,SANY recommends using diesel exhaust fluid (DEF) that meets ISO 22241-1.
What is the recommended grease for heavy-duty bearings and general industrial lubrication for the SW405K Wheel Loader?,Use greases designed for heavy-duty bearings and general industrial lubrication.
"What is the recommended grease for heavy-duty plain and rolling element bearings operating under severe conditions, including shock loading in wet environments for the SW405K Wheel Loader?","Use greases designed for heavy-duty plain and rolling element bearings operating under severe conditions, including shock loading in wet environments."
What type of windshield washer fluid is recommended for the SW405K Wheel Loader?,"Only use clean automotive windshield washer fluid. Do not mix concentrates into the washer fluid. In cold weather areas, use washer fluid with a low temperature rating."
What viscosity grade of industrial gear oil is recommended for the SW405K Wheel Loader?,"Any brand meeting AGMA standard 9005-D94, ISO 3448 grade 220 is acceptable for the front and rear axles of SW405K Wheel Loader."
What is the Engine oil type Table for SW405K Wheel Loader?,"SAE 10W-40, SAE 10W-30, SAE 5W-30, SAE 5W-40, SAE 15W-30, SAE 15W-40, SAE 20W-50 are the recommended engine oil viscosity based on temperature."
What is the Grease Type/Temperature Data Table for SW405K Wheel Loader?,"NGLI No. 2 molybdenum disulfide lithium-based grease for summer, NGLI No.1 molybdenum disulfide lithium-based grease for winter."
What is the Industrial Gear Oil/Temperature Data Table for SW405K Wheel Loader?,"80W-90, any brand meeting AGMA standard 9005-D94, ISO 3448 grade 220 is acceptable."
What is the Hydraulic Oil/Ambient Temperature Data Table for SW405K Wheel Loader?,ISO VG 46 anti-wear hydraulic oil and ISO VG 32 low-temperature anti-wear hydraulic oil are recommended based on local operating climate and conditions.
What is the Spray lubricant capacity of SW405K Wheel Loader?,"NA, any lithium grease-based spray lubricant."
What type of lubricants should be used for the SW405K Wheel Loader?,Always use SANY-approved lubricants.
What is the recommended fuel type for normal operations?,No. 2 ultra-low sulfur diesel (ULSD) fuel.
What is the minimum cetane level recommended by Deutz?,40.
What should be avoided when refueling to prevent fuel contamination?,Take appropriate precautions.
What is the approximate capacity of the fuel tank?,85 gal. (322 L).
What type of fuel can be used in cold weather environments?,A mixture of No. 2 diesel and No. 1 diesel fuels.
What is the recommended lubricant for the engine?,SAE 5W-40 engine oil.
What type of grease is recommended for summer and winter use?,"NGLI No. 2 molybdenum disulfide lithium-based grease and NGLI No. 1 molybdenum disulfide lithium-based grease, respectively."
What type of oil is recommended for the hydraulic system?,"ISO VG 46 anti-wear hydraulic oil or ISO VG 32 low-temperature anti-wear hydraulic oil, depending on the operating climate."
What type of diesel exhaust fluid (DEF) is recommended?,Any DEF meeting ISO 22241-1.
What type of engine coolant is recommended?,Any brand meeting the Deutz classification TR 0199-99-1115/5 EN.
What type of windshield washer fluid should be used?,Clean automotive windshield washer fluid with a low temperature rating in cold weather areas.
What happens if the lubricating intervals are not shortened in harsh environments?,Lubricating intervals can be damaged and the machine may operate improperly.
What should you do before performing maintenance on the machine?,"Secure the machine by obtaining the Maintenance Log, reading and understanding the tasks, performing the lockout/tagout procedure, and following the procedures outlined in the section."
What is the interval for collecting oil samples?,Every 500 hours or as required.
What is the recommended interval for changing the engine oil and filter?,"First 50 hours, then every 500 hours, then every 1000 hours, and so on."
What is the recommended interval for cleaning the radiator and cooling fins?,Every 3 months or 500 hours.
What is the recommended interval for replacing the primary and secondary fuel filters?,"Every 500 hours, then every 1000 hours, then every 2000 hours, and so on."
What is the recommended interval for replacing the hydraulic system breather filter?,"Every 500 hours, then every 1000 hours, and so on."
What is the recommended interval for replacing the hydraulic pilot filter?,"Every 500 hours, then every 1000 hours, and so on."
What is the recommended interval for replacing the brake line filter?,"Every 500 hours, then every 1000 hours, and so on."
What is the recommended interval for replacing the engine crankcase breather?,"Every 500 hours, then every 1000 hours, and so on."
What is the recommended interval for replacing the transmission oil and filter?,"First 100 hours, then every 1000 hours, and so on."
What is the recommended interval for replacing the primary and secondary air filters?,"Every 500 hours, then every 1000 hours, and so on."
What is the recommended interval for replacing the hydraulic oil return filter?,"Every 1000 hours, and so on."
What is the recommended interval for replacing the hydraulic suction filter?,"Every 1000 hours, and so on."
What is the recommended interval for replacing the air conditioner compressor belt?,Every 2000 hours.
What is the recommended interval for replacing the engine serpentine belt?,Every 2000 hours.
What is the recommended interval for changing the diesel exhaust fluid (DEF) filter?,Every 4500 hours.
What is the recommended interval for replacing the secondary (safe) air filter?,Every 3000 hours.
What is the recommended interval for changing the hydraulic oil?,Every 4000 hours.
What should you do every 10 hours or daily?,"Check the batteries, fluid leaks, engine exhaust system, engine air filters, engine oil level, engine coolant level, inspect the engine serpentine belt, and so on."
What should you do after the first 50 hours?,"Perform the initial change of the engine oil and filter, initial inspection of the park brake pads, and so on."
What should you do weekly or every 50 hours?,"Check battery terminals, air conditioner operation, driveshaft fasteners, lubricate the machine, and so on."
What should be done daily or every 10 hours regarding the batteries of the SW405K Wheel Loader?,The batteries should be checked.
What should be checked daily or every 10 hours on the SW405K Wheel Loader related to fluid leaks?,For fluid leaks should be checked.
What should be inspected daily or every 10 hours on the SW405K Wheel Loader related to the engine exhaust system?,The engine exhaust system should be checked.
What should be inspected daily or every 10 hours on the SW405K Wheel Loader related to the engine air filters?,The engine air filters should be inspected.
What should be checked daily or every 10 hours on the SW405K Wheel Loader related to the engine oil level?,The engine oil level should be checked.
What should be checked daily or every 10 hours on the SW405K Wheel Loader related to the hydraulic oil level?,The hydraulic oil level should be checked.
What should be checked daily or every 10 hours on the SW405K Wheel Loader related to the diesel exhaust fluid (DEF) level?,The diesel exhaust fluid (DEF) level should be checked.
What should be done when required on the SW405K Wheel Loader regarding collecting oil samples?,Oil samples should be collected every 500 hours or as required.
What should be done after the first 50 hours on the SW405K Wheel Loader related to the engine oil and filter?,The engine oil and filter should be changed initially.
What should be checked monthly or every 250 hours on the SW405K Wheel Loader related to the engine and transmission mounting fasteners?,The engine and transmission mounting fasteners should be checked.
What should be replaced every 3 months or 500 hours on the SW405K Wheel Loader related to the hydraulic system breather filter?,The hydraulic system breather filter should be replaced.
What should be checked every 6 months or 1000 hours on the SW405K Wheel Loader related to the fuel tank strainer?,The fuel tank strainer should be checked.
What should be changed every 3000 hours on the SW405K Wheel Loader related to the secondary (safe) air filter?,The secondary (safe) air filter should be replaced.
What should be changed every 4000 hours on the SW405K Wheel Loader related to the hydraulic oil?,The hydraulic oil should be changed.
What should be changed every 4500 hours on the SW405K Wheel Loader related to the diesel exhaust fluid (DEF) filter?,The diesel exhaust fluid (DEF) filter should be changed.
What is the importance of performing maintenance procedures on schedule?,Failure to perform maintenance procedures when and as directed can damage the machine and cause it to operate improperly.
What should be done before performing maintenance tasks?,"Secure the machine for maintenance by obtaining the Maintenance Log, reading and understanding all tasks, performing lockout/tagout procedure, and completing procedures as follows."
What should be checked daily or every 10 hours?,"Batteries, fluid leaks, engine exhaust system, engine air filters, engine oil level, engine coolant, engine serpentine belt, primary fuel filter, hydraulic oil level, hydraulic connections, diesel exhaust fluid (DEF) level, tires, electrical system, transmission oil level, driveshafts, articulating joints, work equipment, sheet metal, safety decals, work lights and indicators, escape tool, fire extinguisher, loose or missing components, and safety equipment."
What should be done every 50 hours?,"Check battery terminals, air conditioner operation, driveshaft fasteners, and lubricate the machine."
What should be done after the first 50 hours?,"Initial change of engine oil and filter, and initial inspection of park brake pads."
What should be done after the first 100 hours?,"Initial change of transmission oil and filter, initial change of engine oil and filter, and initial change of front and rear axle oil."
What should be done monthly or every 250 hours?,"Check engine serpentine belt tension, engine and transmission mounting fasteners, wheel mounting fasteners, work equipment mounting fasteners, front and rear axle oil level, service brakes, and park brake pad thickness and clearance."
What should be done every 3 months or 500 hours?,"Clean radiator cooling fins, change engine oil and filter, check transmission oil level, replace primary and secondary fuel filters, perform standstill regeneration, replace hydraulic system breather filter, replace hydraulic pilot filter, replace brake line filter, collect oil samples, and check front and rear axle oil level."
What should be done every 6 months or 1000 hours?,"Change transmission oil and filter, replace primary and secondary fuel filters, check fuel tank strainer, replace primary air filter, check engine exhaust system, check alternator, replace hydraulic oil return filter, replace hydraulic suction filter, change front and rear axle oil, and replace air conditioner compressor belt."
What should be done annually or every 2000 hours?,"Check alternator, change engine coolant, and check engine valve clearance."
What should be done every 3000 hours?,Replace secondary air filter.
What should be done every 4000 hours?,Change hydraulic oil.
What should be done every 4500 hours?,Change diesel exhaust fluid (DEF) filter.
What should be checked at the front of the machine?,"The front work lights, headlights, turn signals/hazard lights, and marker lights."
Where are the locations and functions of the front switch mentioned?,"On page 3-14 under the ""Right Console"" section."
How should the horn be checked?,With the key switch ON.
Where is the location of the horn buttons mentioned?,"On page 3-9 under the ""Cab"" section."
What should be checked at the rear of the machine?,"The rear work lights, beacon light, backup lights, brake lights/taillights, and turn signals/hazard lights."
Where are the locations and functions of the rear switch mentioned?,"On page 3-14 under the ""Right Console"" section."
How many lights should be checked at the rear of the machine?,5 lights.
What should be checked at the front of the machine according to Figure 5-1?,"The front work lights, headlights, turn signals/hazard lights, and marker lights."
What should be checked at the rear of the machine according to Figure 5-3?,"The rear work lights, beacon light, backup lights, brake lights/taillights, and turn signals/hazard lights."
What should be checked for proper function at the front of the MAINTENANCE 5-11 SW405K Wheel Loader?,"The front work lights, headlights, turn signals/hazard lights, and marker lights should be checked for proper function at the front of the MAINTENANCE 5-11 SW405K Wheel Loader."
Where can the switch locations and functions for the front lights be found on the MAINTENANCE 5-11 SW405K Wheel Loader?,"The switch locations and functions for the front lights can be found on page 3-14, labeled as ""Right Console"" on the MAINTENANCE 5-11 SW405K Wheel Loader."
What should be checked for proper operation on the MAINTENANCE 5-11 SW405K Wheel Loader using the key switch?,The horn should be checked for proper operation on the MAINTENANCE 5-11 SW405K Wheel Loader using the key switch.
Where is the location of the horn buttons on the MAINTENANCE 5-11 SW405K Wheel Loader?,"The location of the horn buttons on the MAINTENANCE 5-11 SW405K Wheel Loader can be found on page 3-9, labeled as ""Cab""."
What should be checked for proper function at the rear of the MAINTENANCE 5-11 SW405K Wheel Loader?,"The rear work lights, beacon light, backup lights, brake lights/taillights, and turn signals/hazard lights should be checked for proper function at the rear of the MAINTENANCE 5-11 SW405K Wheel Loader."
Where can the switch locations and functions for the rear lights be found on the MAINTENANCE 5-11 SW405K Wheel Loader?,"The switch locations and functions for the rear lights can be found on page 3-14, labeled as ""Right Console"" on the MAINTENANCE 5-11 SW405K Wheel Loader."
What is the first step in the maintenance procedure for lights and warning devices?,Check the front lights.
What are the items to be checked at the front of the machine?,"Front work lights, headlights, turn signals/hazard lights, and marker lights."
Where can you find the switch locations and functions for the front lights?,"On page 3-14 in the ""Right Console"" section."
What is the next step in the maintenance procedure after checking the front lights?,Check the horn.
How do you check the horn?,"With the key switch ON, check the horn for proper operation."
Where can you find the location of the horn buttons?,"On page 3-9 in the ""Cab"" section."
What is the third step in the maintenance procedure for lights and warning devices?,Check the rear lights and beacon light.
What are the items to be checked at the rear of the machine?,"Rear work lights, beacon light, backup lights, brake lights/taillights, and turn signals/hazard lights."
Where can you find the switch locations and functions for the rear lights?,"On page 3-14 in the ""Right Console"" section."
What should you prepare before checking and adding engine oil?,"Prepare the machine for service, see ""Maintenance Safety"" on page 2-5."
What should you do with the battery disconnect switch before checking and adding engine oil?,"Turn the battery disconnect switch to OFF, see ""Battery Disconnect Switch"" on page 3-8."
Where should you open the left side engine compartment access doors?,"See ""Engine Compartment Access Doors"" on page 3-6."
What should you do with the engine oil dipstick after adding engine oil?,"Remove the engine oil dipstick, wait 2 minutes, and then recheck the engine oil level."
What level should the engine oil level be between on the engine oil dipstick?,The level should be between the high and low marks.
What could happen if the engine oil level is above the high mark on the dipstick?,Engine damage and improper machine operation could result.
Who should not perform engine maintenance when the engine is hot?,"Anyone, as hot engine oil or engine components may cause severe burns."
Why should you allow the engine to cool before performing engine maintenance?,Failure to follow this caution could result in injury.
What should you do if leaks are noticed after changing the engine oil and filter?,Shut down the engine immediately.
Who should inspect the engine serpentine belt?,The machine operator or maintenance personnel.
What are the signs of a worn-out engine serpentine belt?,"Abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration."
What should you check for when inspecting the air conditioner compressor belt?,"The same signs as for inspecting the engine serpentine belt, i.e., abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration."
How should the engine oil level be checked on a SW405K Wheel Loader OMM?,The engine oil level should be checked between the high and low marks on the engine oil dipstick.
What should be done if the engine oil level is below the low mark on the dipstick?,Engine oil should be added until the level is between the high and low marks.
How long should one wait after adding engine oil before rechecking the engine oil level?,Two minutes.
What should not be done when adding engine oil?,The engine oil level should not be filled above the high mark on the dipstick.
What should be done before changing the engine oil and filter on a SW405K Wheel Loader OMM?,"The machine should be prepared for service, the engine should be started and allowed to come up to normal operating temperature, then turned off."
What should be done with used engine oil and filters after changing the engine oil?,They should be disposed of in compliance with all applicable environmental regulations.
What should be checked for when inspecting the engine serpentine belt on a SW405K Wheel Loader OMM?,"Abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration should be checked for."
What should be done if any damage is found on the engine serpentine belt?,The belt should be replaced.
What should be checked when checking engine serpentine belt tension?,The belt deflection should be between 0.28 in.–0.30 in. (7 mm–10 mm).
What should be checked for when inspecting the air conditioner compressor belt on a SW405K Wheel Loader OMM?,"Abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration should be checked for."
What should be done if any damage is found on the air conditioner compressor belt?,The belt should be replaced.
What is the first step in checking the engine oil?,Prepare the machine for service. See “Maintenance Safety” on page 2-5.
What should you do with the battery disconnect switch before checking the engine oil?,Turn the battery disconnect switch to OFF.
How do you access the engine compartment?,Open the left side engine compartment access doors.
What should you do with the engine oil dipstick after removing it?,Wipe off the end of it with a clean cloth.
What is the correct oil level on the engine oil dipstick?,Between the high and low marks.
What happens if you overfill the engine with oil?,It could result in engine damage and improper machine operation.
What should you refer to for the recommended engine oil viscosity?,“Engine Oil Viscosity/Temperature Data” on page 5-7.
Why should you not perform engine maintenance when the engine is hot?,Hot engine oil or engine components may cause severe burns.
What should you do with the engine oil sample?,Collect it for testing. See “Collect Engine Oil Sample” on page 5-50.
How do you dispose of used engine oil and oil filters?,In compliance with all applicable environmental regulations.
What should you check for after adding engine oil?,Leaks.
What should you do if leaks are noticed?,Shut down the engine immediately.
How often should you check the engine oil level?,"After adding engine oil, wait 2 minutes and recheck the engine oil level."
What should you inspect the engine serpentine belt for?,"Abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration."
What happens if the serpentine belt is damaged?,Replace the belt.
How do you check the engine serpentine belt tension?,"Between the idler and the crankshaft pulley, the belt deflection should be between 0.28 in.–0.30 in. (7 mm–10 mm)."
What should you inspect the air conditioner compressor belt for?,"Abrasion, chunk-out, pulling, uneven rib wear, improper installation, cracking, misalignment, and gravel penetration."
What should you do if the air conditioner compressor belt is damaged?,Replace the belt.
What should you do before starting maintenance on the SW405K Wheel Loader?,Prepare the machine for service and follow the instructions on page 2-5.
Where is the battery disconnect switch located?,See page 3-8 for the location of the battery disconnect switch.
What should you do to access the engine compartment?,"Open the engine compartment access doors, which are located on page 3-6."
What is the purpose of the automatic belt tensioner on the air conditioner compressor belt?,"If the air conditioner compressor belt deflection is more than specified, replace the belt first. If the deflection is not resolved, replace the tensioner."
What should be the belt deflection be for the air conditioner compressor belt?,The belt deflection should be between 0.28 in.-0.30 in (7 mm-10 mm).
What should you do if you notice damage on the air conditioner compressor belt?,Replace the belt if any damage is noted.
How do you inspect the engine air filters?,"Open the left side engine compartment access doors, release three latches and remove the engine air filter housing cover, then remove the primary air filter and inspect it."
Should you attempt to clean the air filter elements?,"No, do not attempt to clean the air filter elements."
What should you do if the primary air filter is damaged or worn out?,Replace the air filter as needed.
What should you do after inspecting the primary air filter?,Clean the inside of the air cleaner housing and install the primary air filter and air filter housing cover.
How do you replace the secondary engine air filter?,"Release three latches, remove the air filter cover, clean the inside of the air filter housing, remove the primary air filter, remove the secondary engine air filter, install a new primary and secondary engine air filter, and install the air filter housing cover."
How do you contact a SANY dealer regarding the procedure for checking engine valve clearance?,By contacting a SANY dealer directly.
What should you do to replace the engine crankcase breather?,"Follow the instructions for preparing the machine for service, turning off the battery disconnect switch, opening the left side engine compartment access doors, releasing three latches, removing the air filter cover, cleaning the inside of the air filter housing, removing the primary air filter, removing the secondary engine air filter, installing a new primary and secondary engine air filter, and installing the air filter housing cover."
How do you prepare the machine for service?,"To prepare the machine for service, refer to ""Maintenance Safety"" on page 2-5 of the text."
What is the first step in checking the air conditioner compressor belt tension?,The first step is to prepare the machine for service and turn the battery disconnect switch to the OFF position.
What is the acceptable belt deflection for the air conditioner compressor belt?,The belt deflection should be between 0.28 in.–0.30 in (7 mm–10 mm).
What should you do if the air conditioner compressor belt deflection is more than specified?,"If the deflection is more than specified, replace the belt first. If the deflection is not resolved, replace the tensioner."
What is the first step in inspecting the engine air filters?,The first step is to prepare the machine for service and turn the battery disconnect switch to the OFF position.
What should you check for when inspecting the primary air filter?,"You should check for signs of damage, wear, or blockage."
What should you not do when inspecting the primary air filter?,You should not attempt to clean the air filter elements.
What is the first step in replacing the primary engine air filter?,The first step is to prepare the machine for service and turn the battery disconnect switch to the OFF position.
What should you do before removing the secondary engine air filter?,You should clean the inside of the air filter housing before removing the secondary filter element.
Who should you contact regarding the engine valve clearance check procedure?,You should contact a SANY dealer regarding this procedure.
What is the first step in replacing the engine crankcase breather?,The first step is to prepare the machine for service and turn the battery disconnect switch to the OFF position.
What is the first step in checking the air conditioner compressor belt tension?,Prepare the machine for service.
What is the recommended belt deflection for the air conditioner compressor belt?,Between 0.28 in.–0.30 in (7 mm–10 mm).
What should you do if the air conditioner compressor belt deflection is more than specified?,"Replace the belt first. If the deflection is not resolved, replace the tensioner."
How do you inspect the engine air filters?,"Prepare the machine for service, turn the battery disconnect switch to the OFF position, open the left side engine compartment access doors, release three latches and remove the engine air filter housing cover."
What should you not attempt to do with the air filter elements?,Clean them.
What is the purpose of pointing the dust valve downward when installing the primary air filter and air filter housing cover?,Not specified in the text.
What is the first step in replacing the primary engine air filter?,Prepare the machine for service.
How do you remove the primary air filter from the air filter housing?,Release three latches and remove the air filter housing cover.
What should you do after removing the primary air filter?,Clean the inside of the air filter housing.
What is the first step in replacing the secondary engine air filter?,Prepare the machine for service.
How do you remove the secondary engine air filter from the housing?,Clean the inside of the air filter housing before removing the secondary filter element.
What is the procedure for checking engine valve clearance?,Contact a SANY dealer regarding this procedure.
What is the first step in replacing the engine crankcase breather?,Prepare the machine for service.
What is the first step to remove the crankcase breather?,Remove two fasteners (1) and pull the crankcase breather (2) away from the engine.
What tool is needed to squeeze the hose clamp tabs?,Pliers.
How do you secure the crankcase breather to the engine?,Use two fasteners to secure it.
Where is the coolant expansion tank located?,On top of the radiator.
What should you do before removing the expansion tank filler cap?,Allow the engine to cool.
How do you add coolant through the expansion tank filler?,"Slowly open the expansion tank filler cap to release any pressure, then add coolant and install the cap."
How do you know if you should change the engine coolant?,Check the coolant level regularly and refer to the recommended coolant level.
What should you do with engine coolant before disposing of it?,Dispose of it in accordance with all applicable environmental regulations.
Why should you not direct compressed air directly into the cooling fins?,Because it can damage the cooling fins and lead to coolant leaks and engine overheating.
What personal protective equipment (PPE) should you always wear when cleaning the radiator and oil cooler fins?,"Goggles, gloves, and other PPE."
How do you change the fan direction on the machine?,"Press the function button down arrow icons to highlight the Change fan direction option, then press the next to the check mark icon to choose the option."
Why should you only use the counterclockwise fan rotation direction when cleaning the radiator?,Because this direction should only be used when cleaning the radiator.
How many fasteners need to be removed to pull the crankcase breather away from the engine?,Two fasteners need to be removed.
What tool should be used to remove the breather hose from the crankcase breather?,A pliers should be used to squeeze the hose clamp tabs and remove the breather hose.
What should be installed onto the new crankcase breather before installing the breather hose?,A new gasket should be installed onto the new crankcase breather.
What should be done to the engine coolant level before starting and running the engine at low idle?,The engine coolant level should be checked in the sight glass and additional coolant should be added if required.
What precaution should be taken before removing the expansion tank filler cap when the engine is hot?,The engine should be allowed to cool before removing the radiator cap as the engine coolant may be under pressure.
What should be done with the used engine coolant after draining it from the radiator?,The used engine coolant should be disposed of in accordance with all applicable environmental regulations.
What personal protective equipment should be worn when cleaning the radiator and oil cooler fins with compressed air?,"Goggles, gloves, and other personal protective equipment (PPE) should be worn."
What direction should the fan rotation be set to when cleaning the radiator?,The fan rotation should be set to counterclockwise when cleaning the radiator.
What precaution should be taken before changing the fan direction?,The engine should be stopped first before changing the fan direction.
What is the first step in replacing the crankcase breather?,Remove two fasteners and pull the crankcase breather away from the engine.
How do you remove the breather hose from the crankcase breather?,Use a pliers to squeeze hose clamp tabs and remove the breather hose.
What is the purpose of installing a new gasket onto the new crankcase breather?,"(Not explicitly stated in the text, but implied to ensure a proper seal)"
How do you secure the crankcase breather to the engine?,With two fasteners.
What is the first step in checking and adding engine coolant?,Prepare the machine for service.
Where is the coolant expansion tank located?,On top of the radiator.
What should you do if you or your skin come into contact with engine coolant?,Wash the affected area with plenty of water and seek medical treatment immediately.
Why should you not remove the expansion tank filler cap while the engine is hot?,"Engine coolant may be under pressure when the engine is hot, and removing the cap can cause serious injury or death."
How do you add engine coolant?,"Through the expansion tank filler, then install the expansion tank filler cap."
What should you do after adding engine coolant?,"Start and run the engine at low idle until it reaches normal operating temperature, then shut down the engine, allow it to cool, and repeat as needed."
What is the warning about engine coolant?,"Engine coolant is toxic; avoid inhaling or ingesting it, and avoid contact with hot engine coolant."
What should you do when changing the engine coolant?,"Prepare the machine for service, turn off the battery disconnect switch, open the expansion tank filler cap door, and slowly open the expansion tank filler cap to release cooling system pressure."
Where do you drain the engine coolant?,Through the radiator drain hose into an appropriately sized container.
What should you do with the used engine coolant?,Dispose of it in accordance with all applicable environmental regulations.
How do you add new engine coolant?,Directly into the expansion tank filler neck until the coolant level reaches the bottom of the filler neck.
Why must the engine be shut down to clean the radiator and oil cooler fins?,"(Not explicitly stated, but implied for safety reasons)"
What should you wear when cleaning the radiator and oil cooler fins with compressed air?,"Goggles, gloves, and other personal protective equipment (PPE)."
What can happen if compressed air is directed into the cooling fins?,"Damage to the cooling fins, which can lead to coolant leaks and engine overheating."
How do you access the Operation Screen to change the fan direction for cleaning the radiator?,"Press the function button at the right to access the Calibration and Operation Screens, then highlight the Operation Screen option and press the function button next to the check mark icon."
What type of compressed air should be used for maintenance?,Low-pressure compressed air.
Where should the nozzle be pointed while using compressed air for maintenance?,"Away from the radiator fins, to avoid damaging the fins or causing other engine damage."
